Title,Body,Tags,Id,Score,ViewCount,FavoriteCount,AnswerCount
"How can I prevent SQL injection in PHP?","<p>If user input is inserted without modification into an SQL query, then the application becomes vulnerable to <a href=""https://stackoverflow.com/a/332367/"">SQL injection</a>, like in the following example:</p>

<pre class=""lang-php prettyprint-override""><code>$unsafe_variable = $_POST['user_input']; 

mysql_query(""INSERT INTO `table` (`column`) VALUES ('$unsafe_variable')"");
</code></pre>

<p>That's because the user can input something like <code>value'); DROP TABLE table;--</code>, and the query becomes:</p>

<pre><code>INSERT INTO `table` (`column`) VALUES('value'); DROP TABLE table;--')
</code></pre>

<p>What can be done to prevent this from happening?</p>
","<php><mysql><sql><security><sql-injection>","60174","2773","2050326","3801","28"
"Which ""href"" value should I use for JavaScript links, ""#"" or ""javascript:void(0)""?","<p>The following are two methods of building a link that has the sole purpose of running JavaScript code. Which is better, in terms of functionality, page load speed, validation purposes, etc.?</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""false"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>function myJsFunc() {
    alert(""myJsFunc"");
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;a href=""#"" onclick=""myJsFunc();""&gt;Run JavaScript Code&lt;/a&gt;</code></pre>
</div>
</div>
</p>

<p>or</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""false"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>function myJsFunc() {
    alert(""myJsFunc"");
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code> &lt;a href=""javascript:void(0)"" onclick=""myJsFunc();""&gt;Run JavaScript Code&lt;/a&gt;</code></pre>
</div>
</div>
</p>
","<javascript><html><performance><optimization><href>","134845","4337","2442582","1269","55"
"How do I parse command line arguments in Bash?","<p>Say, I have a script that gets called with this line:</p>
<pre><code>./myscript -vfd ./foo/bar/someFile -o /fizz/someOtherFile
</code></pre>
<p>or this one:</p>
<pre><code>./myscript -v -f -d -o /fizz/someOtherFile ./foo/bar/someFile 
</code></pre>
<p>What's the accepted way of parsing this such that in each case (or some combination of the two) <code>$v</code>, <code>$f</code>, and  <code>$d</code> will all be set to <code>true</code> and <code>$outFile</code> will be equal to <code>/fizz/someOtherFile</code>?</p>
","<bash><command-line><scripting><arguments><getopts>","192249","2387","1882578","1209","40"
"What is the difference between public, protected, package-private and private in Java?","<p>In Java, are there clear rules on when to use each of access modifiers, namely the default (package private), <code>public</code>, <code>protected</code> and <code>private</code>, while making <code>class</code> and <code>interface</code> and dealing with inheritance?</p>
","<java><private><public><protected><access-modifiers>","215497","3522","2420401","1465","30"
"How can I safely create a nested directory?","<p>How do I check if the directory that a file is going to be written to exists, and if it does not, create the directory using Python?</p>
","<python><exception><path><directory><operating-system>","273192","5272","3336546","1093","29"
"Which equals operator (== vs ===) should be used in JavaScript comparisons?","<p>I'm using <a href=""http://en.wikipedia.org/wiki/JSLint"" rel=""noreferrer"">JSLint</a> to go through JavaScript, and it's returning many suggestions to replace <code>==</code> (two equals signs) with <code>===</code> (three equals signs) when doing things like comparing <code>idSele_UNVEHtype.value.length == 0</code> inside of an <code>if</code> statement.</p>

<p>Is there a performance benefit to replacing <code>==</code> with <code>===</code>? </p>

<p>Any performance improvement would be welcomed as many comparison operators exist.</p>

<p>If no type conversion takes place, would there be a performance gain over <code>==</code>?</p>
","<javascript><operators><equality><equality-operator><identity-operator>","359494","5653","2027658","1986","48"
"What does if __name__ == ""__main__"": do?","<p>What does this do, and why should one include the <code>if</code> statement?</p>
<pre><code>if __name__ == &quot;__main__&quot;:
    print(&quot;Hello, World!&quot;)
</code></pre>
","<python><namespaces><main><python-module><idioms>","419163","7617","4140569","3221","41"
"What is a plain English explanation of ""Big O"" notation?","<p>I'd prefer as little formal definition as possible and simple mathematics.</p>
","<algorithm><complexity-theory><computer-science><big-o><time-complexity>","487258","5243","780935","4131","43"
"How to close/hide the Android soft keyboard programmatically?","<p>I have an <code>EditText</code> and a <code>Button</code> in my layout.</p>
<p>After writing in the edit field and clicking on the <code>Button</code>, I want to hide the virtual keyboard when touching it outside the keyboard. I assume that this is a simple piece of code, but where can I find an example of it?</p>
","<android><android-edittext><android-softkeyboard><android-input-method><soft-keyboard>","1109022","4225","1742890","1117","128"
"Why is ""using namespace std;"" considered bad practice?","<p>I have heard <code>using namespace std;</code> is bad practice, and that I should use <code>std::cout</code> and <code>std::cin</code> directly instead.
Why is this? Does it risk declaring variables that share the same name as something in the <code>std</code> namespace?</p>
","<c++><namespaces><std><using-directives><c++-faq>","1452721","3150","1075542","1181","41"
